,year,number_of_games
0,1872,1
1,1873,1
2,1874,1
3,1875,1
4,1876,2
5,1877,2
6,1878,2
7,1879,3
8,1880,3
9,1881,3
10,1882,5
11,1883,5
12,1884,6
13,1885,7
14,1886,7
15,1887,6
16,1888,7
17,1889,6
18,1890,6
19,1891,6
20,1892,6
21,1893,5
22,1894,6
23,1895,6
24,1896,6
25,1897,6
26,1898,6
27,1899,6
28,1900,6
29,1901,6
30,1902,8
31,1903,10
32,1904,9
33,1905,14
34,1906,16
35,1907,15
36,1908,28
37,1909,22
38,1910,28
39,1911,35
40,1912,42
41,1913,38
42,1914,33
43,1915,18
44,1916,29
45,1917,27
46,1918,17
47,1919,37
48,1920,37
49,1921,59
50,1922,70
51,1923,95
52,1924,110
53,1925,88
54,1926,87
55,1927,85
56,1928,99
57,1929,84
58,1930,116
59,1931,99
60,1932,93
61,1933,95
62,1934,116
63,1935,119
64,1936,85
65,1937,121
66,1938,152
67,1939,87
68,1940,57
69,1941,52
70,1942,57
71,1943,35
72,1944,30
73,1945,64
74,1946,115
75,1947,141
76,1948,128
77,1949,153
78,1950,135
79,1951,106
80,1952,118
81,1953,178
82,1954,168
83,1955,153
84,1956,195
85,1957,221
86,1958,188
87,1959,187
88,1960,226
89,1961,233
90,1962,246
91,1963,315
92,1964,192
93,1965,359
94,1966,353
95,1967,371
96,1968,307
97,1969,379
98,1970,349
99,1971,408
100,1972,419
101,1973,487
102,1974,382
103,1975,397
104,1976,400
105,1977,455
106,1978,391
107,1979,443
108,1980,509
109,1981,504
110,1982,420
111,1983,464
112,1984,542
113,1985,601
114,1986,429
115,1987,395
116,1988,540
117,1989,622
118,1990,482
119,1991,508
120,1992,600
121,1993,799
122,1994,608
123,1995,668
124,1996,837
125,1997,907
126,1998,761
127,1999,778
128,2000,1040
129,2001,1031
130,2002,768
131,2003,947
132,2004,1079
133,2005,804
134,2006,842
135,2007,988
136,2008,1101
137,2009,925
138,2010,860
139,2011,1115
140,2012,1017
141,2013,955
142,2014,847
143,2015,1039
144,2016,919
145,2017,924
146,2018,929
147,2019,1147
148,2020,347
149,2021,1115
150,2022,969
151,2023,1054
