year,number_of_games
1872,1
1873,1
1874,1
1875,1
1876,2
1877,2
1878,2
1879,3
1880,3
1881,3
1882,5
1883,5
1884,6
1885,7
1886,7
1887,6
1888,7
1889,6
1890,6
1891,6
1892,6
1893,5
1894,6
1895,6
1896,6
1897,6
1898,6
1899,6
1900,6
1901,6
1902,8
1903,10
1904,9
1905,14
1906,16
1907,15
1908,28
1909,22
1910,28
1911,35
1912,42
1913,38
1914,33
1915,18
1916,29
1917,27
1918,17
1919,37
1920,37
1921,59
1922,70
1923,95
1924,110
1925,88
1926,87
1927,85
1928,99
1929,84
1930,116
1931,99
1932,93
1933,95
1934,116
1935,119
1936,85
1937,121
1938,152
1939,87
1940,57
1941,52
1942,57
1943,35
1944,30
1945,64
1946,115
1947,141
1948,128
1949,153
1950,135
1951,106
1952,118
1953,178
1954,168
1955,153
1956,195
1957,221
1958,188
1959,187
1960,226
1961,233
1962,246
1963,315
1964,192
1965,359
1966,353
1967,371
1968,307
1969,379
1970,349
1971,408
1972,419
1973,487
1974,382
1975,397
1976,400
1977,455
1978,391
1979,443
1980,509
1981,504
1982,420
1983,464
1984,542
1985,601
1986,429
1987,395
1988,540
1989,622
1990,482
1991,508
1992,600
1993,799
1994,608
1995,668
1996,837
1997,907
1998,761
1999,778
2000,1040
2001,1031
2002,768
2003,947
2004,1079
2005,804
2006,842
2007,988
2008,1101
2009,925
2010,860
2011,1115
2012,1017
2013,955
2014,847
2015,1039
2016,919
2017,924
2018,929
2019,1147
2020,347
2021,1115
2022,969
2023,1054
